role,filename,day,location_id,sort,crop_x,crop_y
banner_lead,img_2833,,,1,50,50
banner,img_2507,,,2,50,23.1
banner,img_3873,,,3,50,50
banner,img_2839,,,4,50,10.3
banner,photo-2026-07-08-16-41-55,,,5,50,42.5
day_feature,img_2514,day-29-jun,,,50,50
day_feature,img_2585,day-30-jun,,,50,30.3
day_feature,img_2955,day-01-jul,,,50,50
day_feature,img_3074,day-02-jul,,,50,28.3
day_feature,img_3321,day-03-jul,,,50,48.1
day_feature,img_3640,day-04-jul,,,50,26.4
day_feature,img_3816,day-05-jul,,,50,88.7
day_feature,photo-2026-07-08-16-41-57-3-1,day-06-jul,,,50,50
day_feature,photo-2026-07-08-16-42-40-6,day-07-jul,,,50,50
day_feature,img_3975,day-10-jul,,,50,26.9
item_feature,img_2514,,peggy-porschen,,50,49.3
item_feature,img_2533,,bank-of-england,,50,16.2
item_feature,img_e2531,,royal-exchange,,50,100
item_feature,img_2566,,borough-market-river-walk,,50,50
item_feature,img_2886,,churchill-war-rooms,,50,50
item_feature,img_2954,,ambassadors-clubhouse,,50,50
item_feature,img_2995,,dominion-theatre,,50,50
item_feature,img_3028,,sky-garden,,50,48.6
item_feature,img_2950,,piccadilly-circus,,50,50
item_feature,img_2872,,downing-street,,50,50
item_feature,img_2940,,st-james-park,,50,0
item_feature,img_2826,,richmond,,50,50
item_feature,img_2591,,kew-gardens,,50,20.5
item_feature,img_3084,,harrods-store,,50,50
item_feature,img_3074,,harrods,,50,50
item_feature,img_3190,,hampstead-hill-garden,,50,50
item_feature,img_3159,,hampstead-heath,,50,40.2
item_feature,img_3126,,hampstead-village,,50,0
item_feature,img_3113,,coffee-cup,,50,26.1
item_feature,img_3540,,burford,,50,50
item_feature,photo-2026-07-08-16-39-01-9,,broadway-tower,,50,50
item_feature,img_3374,,broadway,,50,50
item_feature,img_3412,,snowshill,,50,50
item_feature,img_3598,,bourton-on-the-water,,50,50
item_feature,img_3873,,cambridge-centre,,50,50
item_feature,img_3845,,scudamores-punting,,50,50
item_feature,img_3736,,cambridge-station,,50,50
item_feature,photo-2026-07-08-16-40-26-1-1,,ccss,,50,35.8
item_feature,photo-2026-07-08-16-40-26-15,,coe-fen,,50,41.9
item_feature,photo-2026-07-08-16-41-56-2,,university-arms-hotel,,50,15.1
item_feature,photo-2026-07-08-16-41-58-10,,chancery-rosewood,,50,47.2
item_feature,img_2544,,london-bridge,,50,18.4
item_feature,img_2745,,petersham-nurseries,,50,40.9
item_feature,img_3430,,upper-slaughter,,50,3.6
item_feature,img_3637,,notting-hill-bookshop,,50,30.3
item_feature,img_3646,,notting-hill,,50,12.7
item_feature,img_3708,,kensington-gardens,,50,12.7
item_feature,img_3944,,battersea-power-station,,50,4.3
item_feature,img_2535,,leadenhall-market,,50,29
